
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 29-Oct-2025 at 22:26:08.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    0.0000   1.0021123E+06   1.3760954E+06   1.0021123E+06   8.0372450E+05   1.1767376E+06   8.0372450E+05
    0.0125   1.0022761E+06   1.3757514E+06   1.0022701E+06   8.0365082E+05   1.1767970E+06   8.0365082E+05
    0.0250   1.0022546E+06   1.3756212E+06   1.0022467E+06   8.0357855E+05   1.1768565E+06   8.0357855E+05
    0.0375   1.0023106E+06   1.3754055E+06   1.0022944E+06   8.0350708E+05   1.1769162E+06   8.0350708E+05
    0.0500   1.0023386E+06   1.3751917E+06   1.0023129E+06   8.0343598E+05   1.1769758E+06   8.0343598E+05
    0.0625   1.0023549E+06   1.3749908E+06   1.0023190E+06   8.0336526E+05   1.1770354E+06   8.0336526E+05
    0.0750   1.0023559E+06   1.3748013E+06   1.0023120E+06   8.0329546E+05   1.1770948E+06   8.0329546E+05
    0.0875   1.0023443E+06   1.3746237E+06   1.0022973E+06   8.0322758E+05   1.1771540E+06   8.0322758E+05
    0.1000   1.0023223E+06   1.3744577E+06   1.0022809E+06   8.0316280E+05   1.1772129E+06   8.0316280E+05
    0.1125   1.0022924E+06   1.3743020E+06   1.0022679E+06   8.0310217E+05   1.1772717E+06   8.0310216E+05
    0.1250   1.0022571E+06   1.3741551E+06   1.0022631E+06   8.0304626E+05   1.1773303E+06   8.0304626E+05
    0.1375   1.0022191E+06   1.3740149E+06   1.0022696E+06   8.0299510E+05   1.1773886E+06   8.0299510E+05
    0.1500   1.0021813E+06   1.3738783E+06   1.0022896E+06   8.0294815E+05   1.1774466E+06   8.0294813E+05
    0.1625   1.0021456E+06   1.3737452E+06   1.0023226E+06   8.0290452E+05   1.1775036E+06   8.0290448E+05
    0.1750   1.0021149E+06   1.3736128E+06   1.0023678E+06   8.0286329E+05   1.1775585E+06   8.0286318E+05
    0.1875   1.0020911E+06   1.3734808E+06   1.0024227E+06   8.0282384E+05   1.1776096E+06   8.0282359E+05
    0.2000   1.0020759E+06   1.3733487E+06   1.0024843E+06   8.0278611E+05   1.1776543E+06   8.0278560E+05
    0.2125   1.0020702E+06   1.3732168E+06   1.0025495E+06   8.0275082E+05   1.1776891E+06   8.0274983E+05
    0.2250   1.0020743E+06   1.3730861E+06   1.0026151E+06   8.0271942E+05   1.1777097E+06   8.0271767E+05
    0.2375   1.0020875E+06   1.3729579E+06   1.0026786E+06   8.0269400E+05   1.1777118E+06   8.0269107E+05
    0.2500   1.0021079E+06   1.3728341E+06   1.0027381E+06   8.0267695E+05   1.1776908E+06   8.0267235E+05
    0.2625   1.0021333E+06   1.3727169E+06   1.0027924E+06   8.0267068E+05   1.1776426E+06   8.0266389E+05
    0.2750   1.0021609E+06   1.3726071E+06   1.0028417E+06   8.0267725E+05   1.1775641E+06   8.0266778E+05
    0.2875   1.0021865E+06   1.3725087E+06   1.0028855E+06   8.0269807E+05   1.1774531E+06   8.0268564E+05
    0.3000   1.0022075E+06   1.3724223E+06   1.0029249E+06   8.0273374E+05   1.1773092E+06   8.0271844E+05
    0.3125   1.0022205E+06   1.3723499E+06   1.0029604E+06   8.0278397E+05   1.1771330E+06   8.0276649E+05
    0.3250   1.0022235E+06   1.3722923E+06   1.0029926E+06   8.0284763E+05   1.1769266E+06   8.0282950E+05
    0.3375   1.0022154E+06   1.3722500E+06   1.0030221E+06   8.0292289E+05   1.1766930E+06   8.0290669E+05
    0.3500   1.0021961E+06   1.3722229E+06   1.0030486E+06   8.0300743E+05   1.1764360E+06   8.0299697E+05
    0.3625   1.0021670E+06   1.3722102E+06   1.0030717E+06   8.0309870E+05   1.1761599E+06   8.0309912E+05
    0.3750   1.0021302E+06   1.3722108E+06   1.0030904E+06   8.0319413E+05   1.1758688E+06   8.0321188E+05
    0.3875   1.0020884E+06   1.3722231E+06   1.0031035E+06   8.0329138E+05   1.1755670E+06   8.0333406E+05
    0.4000   1.0020457E+06   1.3722440E+06   1.0031101E+06   8.0338847E+05   1.1752581E+06   8.0346460E+05
    0.4125   1.0020044E+06   1.3722733E+06   1.0031082E+06   8.0348392E+05   1.1749454E+06   8.0360253E+05
    0.4250   1.0019679E+06   1.3723082E+06   1.0030971E+06   8.0357677E+05   1.1746318E+06   8.0374695E+05
    0.4375   1.0019382E+06   1.3723475E+06   1.0030760E+06   8.0366654E+05   1.1743193E+06   8.0389697E+05
    0.4500   1.0019163E+06   1.3723898E+06   1.0030446E+06   8.0375320E+05   1.1740099E+06   8.0405167E+05
    0.4625   1.0019027E+06   1.3724342E+06   1.0030033E+06   8.0383703E+05   1.1737050E+06   8.0421004E+05
    0.4750   1.0018966E+06   1.3724800E+06   1.0029529E+06   8.0391849E+05   1.1734057E+06   8.0437095E+05
    0.4875   1.0018965E+06   1.3725269E+06   1.0028945E+06   8.0399808E+05   1.1731132E+06   8.0453320E+05
    0.5000   1.0019004E+06   1.3725748E+06   1.0028296E+06   8.0407619E+05   1.1728285E+06   8.0469547E+05
    0.5125   1.0019062E+06   1.3726237E+06   1.0027599E+06   8.0415299E+05   1.1725529E+06   8.0485642E+05
    0.5250   1.0019122E+06   1.3726720E+06   1.0026874E+06   8.0422839E+05   1.1722873E+06   8.0501470E+05
    0.5375   1.0019158E+06   1.3727218E+06   1.0026128E+06   8.0430195E+05   1.1720334E+06   8.0516901E+05
    0.5500   1.0019162E+06   1.3727716E+06   1.0025375E+06   8.0437292E+05   1.1717923E+06   8.0531815E+05
    0.5625   1.0019124E+06   1.3728218E+06   1.0024620E+06   8.0444030E+05   1.1715657E+06   8.0546101E+05
    0.5750   1.0019040E+06   1.3728719E+06   1.0023869E+06   8.0450292E+05   1.1713550E+06   8.0559662E+05
    0.5875   1.0018914E+06   1.3729215E+06   1.0023125E+06   8.0455957E+05   1.1711617E+06   8.0572408E+05
